id,5,E,I,O,U,a,e,i,o,u
1,,,,,,,,0.06313548750263899,,
2,,,,,0.05307850719248499,,,,,
3,,,,,,,,,,0.10299824607438302
4,0.061155208606665006,,,,,,,,,
5,,,,,,,,0.09817020328964399,,
6,0.077785133754091,,,,,,,,,
7,,,,0.114800128437073,,,,,,
8,,,0.042915935864326,,,,,,,
9,,,,,,,,,,
10,0.049889775442278,,,,,,,,,
11,,,,,,0.076712235357483,,,,
12,0.0525720214338,,,,,,,,,
13,,,,,,,0.120164620420113,,,
14,,,,,0.047207529450759005,,,,,
15,,,,,,0.11372723004046399,,,,
16,0.053644919830407985,,,,,,,,,
17,,,,,,,,,,
18,,,,,0.043452385062628995,,,,,
19,,,,0.08422252413374,,,,,,
20,0.035405647088068995,,,,,,,,,
21,,,,,,0.11265433164385598,,,,
22,,,0.034332748691462,,,,,,,
24,,,,,,0.14323193594718803,,,,
25,,,,,,,,,,
26,,0.09334216050491098,,,,,,,,
27,0.035405647088068995,,,,,,,,,
28,,,,,,,,,0.11319078084215996,
29,,,,,,,,,,
30,,,,,,,0.11748237442859695,,,
31,,,,,,,,,,
32,,0.125529112403157,,,,,,,,
33,,,0.051499123037196,,,,,,,
34,,,,,,,0.11640947603199002,,,
35,,,0.038087893079592004,,,,,,,
36,,,,,,,0.068129048184616,,,
37,,,0.063301005399879,,,,,,,
38,,,,,,,,,,
39,,,,,0.047207529450759005,,,,,
40,,,,,,,,,0.09656085569473302,
41,,,0.026822459915202004,,,,,,,
42,,0.13733099476584698,,,,,,,,
43,,,0.035942096286377,,,,,,,
44,,0.13947679155906198,,,,,,,,
45,0.11426367923876797,,,,,,,,,
46,0.04881687704567401,,,,,,,,,
47,,,,,,,0.116409476031983,,,
48,0.042915935864329,,,,,,,,,
49,,,,,,,0.138940342360762,,,
50,,,,,0.09870665248794804,,,,,
51,,0.14966932632683697,,,,,,,,
52,,,0.042915935864329,,,,,,,
53,,,,,,0.125529112403157,,,,
54,,,,,0.041306588269414,,,,,
55,,,,,,,,,0.095487957298126,
56,,,0.03165050269994,,,,,,,
57,,0.10192534767777105,,,,,,,,
58,,,0.048787600425562995,,,,,,,
59,,,,,,,,0.086368320926958,,
60,,,,,,0.114263679238761,,,,
61,0.044525283459237,,,,,,,,,
62,,,,,,,,,0.095487957298133,
63,,,,,0.034332748691455,,,,,
64,,,,0.14269548674889204,,,,,,
65,,,0.054717818227018995,,,,,,,
66,,,,,,,,0.09065991451338098,,
67,,,,,0.045598181855851,,,,,
68,,,,,,,,0.077785133754091,,
69,,,,,0.04613463105414401,,,,,
70,,,,0.11748237442859,,,,,,
71,0.043452385062622,,,,,,,,,
72,,,,,,,0.091732812909996,,,
73,0.040770139071114,,,,,,,,,
74,,,,,,0.13572164717092502,,,,
75,0.045598181855851,,,,,,,,,
76,,,,,,,,,0.150205775525137,
77,,,,,0.047743978649052,,,,,
78,,,,,,0.100316000082856,,,,
79,,,,,0.035405647088068995,,,,,
80,,,,,0.052572021433803996,,,,,
81,,,,,,,,,0.10192534767777803,
82,,,,,0.030577604303332,,,,,
83,,,,0.09977955088454901,,,,,,
84,0.037014994682991,,,,,,,,,
85,,,,,,,,,,
86,,,0.038624342277899,,,,,,,
87,,,,,,0.13679454556753995,,,,
88,,,,,0.037551443881298996,,,,,
89,,,,,,,0.055254267425326,,,
90,0.040233689872806996,,,,,,,,,
91,,,,,,0.09870665248794804,,,,
92,,,,,0.061155208606664006,,,,,
93,,0.11748237442859,,,,,,,,
94,0.043988834260944,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,0.050426224640589,,,,,
98,,,,,,0.123383315609928,,,,
99,0.036478545484683995,,,,,,,,,
100,,,,,,0.09763375409134802,,,,
101,0.049889775442281,,,,,,,,,
102,,,,,,,,0.07081129417613902,,
103,,,,,0.038624342277885,,,,,
104,,,,,,0.11319078084215996,,,,
105,,,,,0.043452385062636,,,,,
106,,,,,,,,,,
107,,,,,0.036478545484683995,,,,,
